model_name,use_smc,lmbda,resample_freq,t_start,t_end,num_particles,div_score,IR_avg,IR_max,ave_score,bon_score,job,results_filename,potential_type
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,4,0.1054771829726575,0.281660134394638,1.232508082786545,0.603404635897987,0.6051686188122358,20241120-123155,results_61.jsonl,diff
stabilityai/stable-diffusion-xl-base-1.0,True,2.0,5,5,30,4,0.1548293894308385,0.2661904669766757,1.2575415786756556,0.6019066328175372,0.6181348950497887,20241120-231331,results_37.jsonl,add
stabilityai/stable-diffusion-2-1,True,10.0,5,5,30,8,0.1271024820837739,0.1140426547097288,1.127853912902595,0.5934405558241994,0.6022510566659502,20241119-232007,results_14.jsonl,diff
stabilityai/stable-diffusion-2-1,True,2.0,5,5,30,8,0.2260446729808776,0.1052093326377684,1.2463317092080308,0.5925162865355684,0.6501543806862956,20241120-021054,results_38.jsonl,max
stabilityai/stable-diffusion-2-1,True,10.0,5,5,30,8,0.1391514327788008,0.1259680207665912,1.2238055363795963,0.5904003913245935,0.6093654631420589,20241119-202222,results_35.jsonl,max
stabilityai/stable-diffusion-2-1,True,10.0,5,5,30,8,0.1383245533237917,0.1149953228413509,1.16332737499912,0.5887685700085966,0.5977937173149939,20241120-123138,results_55.jsonl,add
stabilityai/stable-diffusion-xl-base-1.0,True,2.0,20,20,80,4,0.237816923857072,0.2304996821850834,1.2354561346393604,0.5864908392434988,0.6419779353821907,20241120-050013,results_67.jsonl,max
stabilityai/stable-diffusion-2-1,True,2.0,5,5,30,8,0.1653645829336337,0.1229337753414784,1.2467497591751124,0.5864245513647109,0.6087360305179454,20241120-181520,results_23.jsonl,add
stabilityai/stable-diffusion-xl-base-1.0,True,2.0,5,5,30,4,0.1816293119400685,0.235009214124233,1.1926518118322218,0.5862678872053873,0.605243928648184,20241120-100010,results_1.jsonl,diff
stabilityai/stable-diffusion-2-1,True,2.0,20,20,80,8,0.2164806747307182,0.1050546199098485,1.247334568257735,0.5857351216061323,0.6227013933662869,20241120-123136,results_32.jsonl,diff
stabilityai/stable-diffusion-xl-base-1.0,True,2.0,20,20,80,4,0.2111017021399402,0.2280080447471945,1.2085553051097149,0.5857266593237338,0.629061268715524,20241120-201001,results_5.jsonl,diff
stabilityai/stable-diffusion-2-1,True,10.0,5,5,30,4,0.1437139300238779,0.204310209439835,1.001506686541774,0.580817192313203,0.5917085751128305,20241119-202221,results_71.jsonl,max
stabilityai/stable-diffusion-2-1,True,2.0,20,20,80,8,0.2359625323798514,0.1056498548026056,1.2740630368604435,0.5801130319148936,0.6312697005516156,20241120-023902,results_6.jsonl,max
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,4,0.1061437009011898,0.2300798746127345,1.053008410860077,0.5782511506913103,0.600875241779497,20241120-123118,results_40.jsonl,diff
stabilityai/stable-diffusion-2-1,True,2.0,5,5,30,8,0.2055310120041504,0.1000918418973824,1.20555277955912,0.5766816435632925,0.614356597893832,20241120-050502,results_26.jsonl,diff
stabilityai/stable-diffusion-2-1,True,2.0,5,5,30,4,0.2191011817556608,0.1812881421111271,1.0501034970573784,0.575561219464145,0.6048548427537789,20241119-232505,results_68.jsonl,max
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,8,0.1141328411665197,0.110041785293897,1.038596805865467,0.5719883789132458,0.5764230962103302,20241120-123117,results_9.jsonl,diff
stabilityai/stable-diffusion-2-1,True,2.0,5,5,30,4,0.1708111342709599,0.2082162602605874,1.0639010591004685,0.5697715631492227,0.5905649580915538,20241120-123132,results_41.jsonl,add
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,8,0.1266454092006301,0.1176474877295486,1.1059798399495064,0.5690932597249087,0.5886686904506053,20241119-224738,results_66.jsonl,max
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,8,0.1184319244077931,0.1113865869220811,1.053238079285293,0.5663454357403825,0.5752289741385486,20241120-123451,results_13.jsonl,diff
stabilityai/stable-diffusion-2-1,True,2.0,20,20,80,4,0.2368893438620092,0.1730670307928807,1.0602192136570203,0.5635809558349453,0.5994293108388852,20241119-231627,results_63.jsonl,max
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,8,0.1225348357144898,0.115105710221601,1.0865432361299154,0.5611642578264919,0.5646332115481051,20241119-211745,results_54.jsonl,max
stabilityai/stable-diffusion-2-1,True,2.0,5,5,30,4,0.2051015395071579,0.1726182373594257,1.031888759578789,0.5606530061250806,0.599829142488717,20241120-022033,results_73.jsonl,diff
stabilityai/stable-diffusion-2-1,True,2.0,20,20,80,4,0.2212614134732115,0.1763532930104294,1.045421138169601,0.5587449405401533,0.5976899312271654,20241120-152433,results_27.jsonl,diff
stabilityai/stable-diffusion-2-1,True,10.0,5,5,30,4,0.1258665319316587,0.1804620833009831,0.9244509331332974,0.5522977559280751,0.5663947990543735,20241119-231840,results_48.jsonl,diff
runwayml/stable-diffusion-v1-5,True,2.0,5,5,30,8,0.1803735483228944,0.0720053800378772,0.9288443908041468,0.5406942205745398,0.5804532022351171,20241120-163258,results_69.jsonl,add
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,4,0.1157421740656129,0.1699636563672187,0.8153600805063494,0.5404732609785802,0.5492219177591519,20241119-224624,results_49.jsonl,max
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,4,0.1149223744683978,0.1750661283874611,0.8340604414588269,0.5400559003152089,0.5463725911598253,20241119-210945,results_50.jsonl,max
CompVis/stable-diffusion-v1-4,True,2.0,20,20,80,8,0.2240848616877095,0.0755728163820006,1.05872162718317,0.5352469396984024,0.5748964825560571,20241120-150558,results_33.jsonl,diff
CompVis/stable-diffusion-v1-4,True,2.0,5,5,30,8,0.1866379032184321,0.0734617083721203,0.9394416301081776,0.5337046775377893,0.563579142488717,20241120-183523,results_42.jsonl,add
runwayml/stable-diffusion-v1-5,True,2.0,20,20,80,8,0.2447164475439524,0.0727045437747151,1.0360606091811069,0.52991938444731,0.5950924134966689,20241119-235026,results_25.jsonl,max
CompVis/stable-diffusion-v1-4,True,10.0,5,5,30,8,0.1455292618761064,0.071836155240557,0.8698856996375078,0.527513756805645,0.5638947990543735,20241119-203158,results_36.jsonl,max
CompVis/stable-diffusion-v1-4,True,2.0,5,5,30,4,0.185405596720213,0.116712256136837,0.7474825342583565,0.5262831551328891,0.5618540010029371,20241120-171613,results_64.jsonl,add
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,4,0.1050233167754469,0.15446020880837,0.7536688424726008,0.5257578891754423,0.5233514220216348,20241120-123225,results_72.jsonl,diff
CompVis/stable-diffusion-v1-4,True,2.0,20,20,80,8,0.2492799560621946,0.0726927103212433,1.0299065300544714,0.5247299121534493,0.5911296475392219,20241120-012047,results_65.jsonl,max
runwayml/stable-diffusion-v1-5,True,2.0,20,20,80,8,0.2275744876596962,0.0717798748165604,1.0103195270432486,0.5187965313596963,0.5824691955011104,20241120-150335,results_74.jsonl,diff
runwayml/stable-diffusion-v1-5,True,10.0,5,5,30,8,0.1439832866286175,0.0633183805612808,0.8104570586609892,0.5177671775377893,0.5437077333619887,20241120-135351,results_59.jsonl,add
CompVis/stable-diffusion-v1-4,True,10.0,5,5,30,8,0.1470879638604617,0.0676361397779243,0.8528498404362083,0.5151370195751844,0.5470544093416434,20241120-022836,results_3.jsonl,diff
runwayml/stable-diffusion-v1-5,True,10.0,5,5,30,8,0.1441171557270327,0.07181353988648,0.8656287355837707,0.5144693275843542,0.5359276273372018,20241119-202223,results_20.jsonl,max
CompVis/stable-diffusion-v1-4,True,2.0,5,5,30,8,0.2342306028337472,0.0527472921135998,0.940864462523332,0.5131509465219571,0.5851730962103302,20241120-050923,results_31.jsonl,diff
CompVis/stable-diffusion-v1-4,True,10.0,5,5,30,8,0.1487058202751237,0.0657423033272076,0.8369208549639415,0.5127934710580987,0.51191435632925,20241120-155557,results_47.jsonl,add
CompVis/stable-diffusion-v1-4,True,2.0,5,5,30,8,0.2399438532847392,0.0614932122279066,1.0097549532929175,0.5127267466329967,0.5719683537502687,20241119-231229,results_62.jsonl,max
runwayml/stable-diffusion-v1-5,True,10.0,5,5,30,8,0.1438850326999132,0.0668481915932785,0.8361271392069016,0.5123183295723189,0.5380331685650835,20241120-014039,results_44.jsonl,diff
runwayml/stable-diffusion-v1-5,True,2.0,5,5,30,8,0.2365862940308414,0.0656863141596101,0.9996572206509224,0.508356033741672,0.557379647539222,20241119-230112,results_43.jsonl,max
runwayml/stable-diffusion-v1-5,True,2.0,5,5,30,4,0.2388900679318911,0.0906915617045722,0.76213494733365,0.5025726233970915,0.5508885844258185,20241119-214836,results_39.jsonl,max
runwayml/stable-diffusion-v1-5,True,2.0,5,5,30,4,0.1846881910222186,0.1047474895898677,0.7322734699771482,0.5024476368292858,0.5400942940038685,20241120-141317,results_18.jsonl,add
runwayml/stable-diffusion-v1-5,True,10.0,5,5,30,4,0.1500216456783588,0.0956411785281905,0.6324022608719915,0.4999186456766244,0.5271998352317501,20241120-123530,results_21.jsonl,add
runwayml/stable-diffusion-v1-5,True,10.0,5,5,30,4,0.1600667252786336,0.1089923730952442,0.6760249879168242,0.4989607511283043,0.5062902965828497,20241119-202224,results_51.jsonl,max
CompVis/stable-diffusion-v1-4,True,2.0,5,5,30,4,0.232129037875352,0.0716187448321233,0.6994219019480225,0.4975442814671537,0.5331084784010316,20241120-035602,results_17.jsonl,diff
CompVis/stable-diffusion-v1-4,True,10.0,5,5,30,4,0.1537829645072357,0.0951442255486547,0.6199861233112963,0.4962111585715309,0.511955996131528,20241120-154815,results_58.jsonl,add
runwayml/stable-diffusion-v1-5,True,2.0,20,20,80,4,0.2424559625839077,0.0946922018756891,0.7575406290816646,0.4947654515008238,0.5229125474604198,20241119-223306,results_53.jsonl,max
CompVis/stable-diffusion-v1-4,True,2.0,5,5,30,4,0.2433893897286052,0.0906419481368058,0.7581392337071707,0.4934405222437137,0.5356279103087612,20241119-215150,results_0.jsonl,max
runwayml/stable-diffusion-v1-5,True,2.0,5,5,30,8,0.2325184172117042,0.0546601120351812,0.9467072475745358,0.4917340738949781,0.5405224228096569,20241120-041916,results_56.jsonl,diff
CompVis/stable-diffusion-v1-4,True,2.0,20,20,80,4,0.2238762352521283,0.1024060618708324,0.7615004325825316,0.4909702073930797,0.5429887527759868,20241120-140710,results_52.jsonl,diff
CompVis/stable-diffusion-v1-4,True,2.0,20,20,80,4,0.2402160441061687,0.0978763852395609,0.7664020192800141,0.4894095207393079,0.5346607923203668,20241120-000945,results_45.jsonl,max
CompVis/stable-diffusion-v1-4,True,10.0,5,5,30,4,0.1524668921098436,0.1080327130817078,0.6827721859161721,0.4868273157102944,0.5082202342574683,20241119-202443,results_12.jsonl,max
runwayml/stable-diffusion-v1-5,True,10.0,5,5,30,4,0.1458745891427045,0.0882864723371082,0.5730854350548056,0.4861114693029587,0.5082929472025217,20241119-235653,results_19.jsonl,diff
runwayml/stable-diffusion-v1-5,True,2.0,5,5,30,4,0.2330499597055463,0.0829014413085703,0.7555997035521711,0.4853906977577191,0.5291962174940898,20241120-012419,results_16.jsonl,diff
CompVis/stable-diffusion-v1-4,True,10.0,5,5,30,4,0.1436554720527602,0.0901754846058324,0.5989817037473637,0.4814069104162189,0.5119533992406333,20241120-022610,results_75.jsonl,diff
