model_name,use_smc,lmbda,resample_freq,num_particles,potential_type,seed,div_score,ave_score,bon_score,job
SDv2.1,True,10.0,20,2,max,44,0.0,0.5146435991116842,0.5684701626190988,20241219-004242
SDv2.1,True,10.0,20,2,max,44,0.0,0.5146435991116842,0.5684701626190988,20241221-062901
SDv2.1,True,10.0,20,2,max,44,0.0,0.5146435991116842,0.5684701626190988,20241219-003817
SDv1.4,True,10.0,20,3,diff,42,0.0,0.5121481063590992,0.509894870692743,20241204-202119
SDv1.4,True,10.0,20,3,diff,42,0.0,0.5121481063590992,0.509894870692743,20241204-202117
SDv1.5,True,10.0,20,3,diff,42,0.0,0.5116288774267498,0.5086953757432481,20241204-202123
SDv1.5,True,10.0,20,3,diff,42,0.0,0.5116288774267498,0.5086953757432481,20241204-202122
SDv1.4,True,10.0,20,3,max,42,0.0,0.5024939107385916,0.5096156601475751,20241205-113448
SDv2.1,True,10.0,20,2,max,42,0.0,0.50154210545168,0.5525384160756501,20241221-025147
SDv2.1,True,10.0,20,2,max,42,0.0,0.50154210545168,0.5525384160756501,20241218-212709
SDv2.1,True,10.0,20,2,max,42,0.0,0.50154210545168,0.5525384160756501,20241218-212603
SDv2.1,True,10.0,20,2,max,42,0.0,0.50154210545168,0.5525384160756501,20241218-212709
SDv1.5,True,10.0,20,2,max,42,0.0,0.4564725714592736,0.4929179203381331,20241221-064407
SDv1.5,True,10.0,20,2,max,42,0.0,0.4564725714592736,0.4929179203381331,20241219-004018
SDv1.4,True,10.0,20,2,max,44,0.0,0.4511995844974568,0.4934260154738878,20241221-154302
SDv1.4,True,10.0,20,2,max,44,0.0,0.4511995844974568,0.4934260154738878,20241219-075422
SDv1.5,True,10.0,20,2,max,44,0.0,0.4483010512930725,0.5034543126298446,20241219-021437
SDv1.5,True,10.0,20,2,max,44,0.0,0.4483010512930725,0.5034543126298446,20241221-085752
SDv1.4,True,10.0,20,2,max,42,0.0,0.4426773497385199,0.508138656064188,20241221-133415
SDv1.4,True,10.0,20,2,max,42,0.0,0.4426773497385199,0.508138656064188,20241219-062011
SDv1.4,True,10.0,20,2,max,43,0.0,0.4426396948205458,0.4993213159968479,20241221-143850
SDv1.4,True,10.0,20,2,max,43,0.0,0.4426396948205458,0.4993213159968479,20241219-070730
SDv1.5,True,10.0,20,2,max,43,0.0,0.4345745576330682,0.5121572999498532,20241219-012748
SDv1.5,True,10.0,20,2,max,43,0.0,0.4345745576330682,0.5121572999498532,20241221-075052
