model_name,use_smc,lmbda,resample_freq,t_start,t_end,num_particles,potential_type,seed,div_score,IR_avg,IR_max,ave_score,bon_score,job,results_filename
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,3,max,44,0.0,0.29795325567536457,1.0078160478219822,0.590155395563197,0.5950419084461639,20241226-151710,results_56.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,3,max,44,0.0,0.29795325567536457,1.0078160478219822,0.590155395563197,0.5950419084461639,20241226-151203,results_155.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,3,max,42,0.0,0.30018455573178565,1.0112569379699408,0.5900259987582682,0.5987502686438857,20241224-124548,results_68.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,3,max,42,0.0,0.30018455573178565,1.0112569379699408,0.5900259987582682,0.5987502686438857,20241205-113450,results_152.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,3,max,42,0.0,0.30018455573178565,1.0112569379699408,0.5900259987582682,0.5987502686438857,20241226-100656,results_88.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,3,diff,42,0.0,0.3098898448792161,0.9992784564964352,0.587660141605177,0.582074736728992,20241204-202116,results_83.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,3,diff,42,0.0,0.2888803421137084,0.977160030041247,0.5871903132984694,0.5848097105809872,20241205-113108,results_118.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,4,max,44,0.0,0.2484580559932221,1.1109852031674101,0.5841662637008381,0.5870020237839387,20241221-120413,results_38.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,8,max,43,0.0,0.11947835738110486,1.1174670547390295,0.5841577230639731,0.5967085751128304,20241221-114948,results_58.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,16,max,44,0.0,0.06802718658608622,1.2818649810933378,0.581281750349237,0.6114487964753922,20241227-032952,results_115.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,16,max,44,0.0,0.06802718658608622,1.2818649810933378,0.581281750349237,0.6114487964753922,20241225-025820,results_121.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,16,max,44,0.0,0.06802718658608622,1.2818649810933378,0.581281750349237,0.6114487964753922,20241219-102241,results_181.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,16,max,44,0.0,0.06802718658608622,1.2818649810933378,0.581281750349237,0.6114487964753922,20241221-222055,results_50.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,16,max,42,0.0,0.06658358214821777,1.2564433883323214,0.5789174546887313,0.5998459775055519,20241221-164711,results_144.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,16,max,42,0.0,0.06658358214821777,1.2564433883323214,0.5789174546887313,0.5998459775055519,20241224-161843,results_157.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,8,max,44,0.0,0.12045490430187178,1.1324070480199122,0.5713826093380615,0.5752848520667669,20241219-072229,results_96.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,8,max,44,0.0,0.12045490430187178,1.1324070480199122,0.5713826093380615,0.5752848520667669,20241221-223355,results_5.jsonl
